dataset,source,distribution,test,config,n_points,n_queries,k,build_s,kd3_s,kd3_qps,nf_build_s,nf_s,nf_qps,kd3_ok,nf_ok
synthetic-sphere-shell,generator,bbox-volume,nn1,base,1000000,100000,1,0.0391566,4.56745,21894,0.12929,1.02362,97692.1,1,1
synthetic-sphere-shell,generator,on-cloud,nn1,base,1000000,100000,1,0.0391566,0.0289746,3.4513e+06,0.12929,0.0976519,1.02405e+06,1,1
synthetic-sphere-shell,generator,bbox-volume,nn1,aabb,1000000,100000,1,0.0390292,0.404675,247112,0.12929,1.02362,97692.1,1,1
synthetic-sphere-shell,generator,on-cloud,nn1,aabb,1000000,100000,1,0.0390292,0.0370027,2.70251e+06,0.12929,0.0976519,1.02405e+06,1,1
synthetic-sphere-shell,generator,bbox-volume,nn1,fast,1000000,100000,1,0.0361645,1.89467,52779.7,0.12929,1.02362,97692.1,1,1
synthetic-sphere-shell,generator,on-cloud,nn1,fast,1000000,100000,1,0.0361645,0.019322,5.17545e+06,0.12929,0.0976519,1.02405e+06,1,1
synthetic-sphere-shell,generator,bbox-volume,nn1,fast-aabb,1000000,100000,1,0.0417471,0.317818,314646,0.12929,1.02362,97692.1,1,1
synthetic-sphere-shell,generator,on-cloud,nn1,fast-aabb,1000000,100000,1,0.0417471,0.0312001,3.20512e+06,0.12929,0.0976519,1.02405e+06,1,1
synthetic-torus,generator,bbox-volume,knn,base,1000000,100000,10,0.0331182,3.29426,30355.8,0.128386,1.26376,79129.1,1,1
synthetic-torus,generator,on-cloud,knn,base,1000000,100000,10,0.0331182,0.107015,934449,0.128386,0.241993,413235,1,1
synthetic-torus,generator,bbox-volume,knn,aabb,1000000,100000,10,0.039468,0.591621,169027,0.128386,1.26376,79129.1,1,1
synthetic-torus,generator,on-cloud,knn,aabb,1000000,100000,10,0.039468,0.121968,819885,0.128386,0.241993,413235,1,1
synthetic-torus,generator,bbox-volume,nn1,base,1000000,100000,1,0.0374097,2.76414,36177.7,0.128386,0.70107,142639,1,1
synthetic-torus,generator,on-cloud,nn1,base,1000000,100000,1,0.0374097,0.0326881,3.05922e+06,0.128386,0.109544,912875,1,1
synthetic-torus,generator,bbox-volume,nn1,aabb,1000000,100000,1,0.0350734,0.285138,350708,0.128386,0.70107,142639,1,1
synthetic-torus,generator,on-cloud,nn1,aabb,1000000,100000,1,0.0350734,0.0460461,2.17174e+06,0.128386,0.109544,912875,1,1
synthetic-torus,generator,bbox-volume,nn1,fast,1000000,100000,1,0.0383869,1.14939,87002.4,0.128386,0.70107,142639,1,1
synthetic-torus,generator,on-cloud,nn1,fast,1000000,100000,1,0.0383869,0.0223205,4.48018e+06,0.128386,0.109544,912875,1,1
synthetic-torus,generator,bbox-volume,nn1,fast-aabb,1000000,100000,1,0.0398446,0.205067,487647,0.128386,0.70107,142639,1,1
synthetic-torus,generator,on-cloud,nn1,fast-aabb,1000000,100000,1,0.0398446,0.0301286,3.3191e+06,0.128386,0.109544,912875,1,1
synthetic-blobs,generator,bbox-volume,knn,base,1000000,100000,10,0.0351783,6.29448,15886.9,0.13078,1.84158,54301.1,1,1
synthetic-blobs,generator,on-cloud,knn,base,1000000,100000,10,0.0351783,0.166328,601220,0.13078,0.306719,326031,1,1
synthetic-blobs,generator,bbox-volume,knn,aabb,1000000,100000,10,0.03905,0.811893,123169,0.13078,1.84158,54301.1,1,1
synthetic-blobs,generator,on-cloud,knn,aabb,1000000,100000,10,0.03905,0.17076,585617,0.13078,0.306719,326031,1,1
synthetic-blobs,generator,bbox-volume,nn1,base,1000000,100000,1,0.0387142,5.26698,18986.2,0.13078,0.96055,104107,1,1
synthetic-blobs,generator,on-cloud,nn1,base,1000000,100000,1,0.0387142,0.0606985,1.64749e+06,0.13078,0.167926,595500,1,1
synthetic-blobs,generator,bbox-volume,nn1,aabb,1000000,100000,1,0.039862,0.377481,264914,0.13078,0.96055,104107,1,1
synthetic-blobs,generator,on-cloud,nn1,aabb,1000000,100000,1,0.039862,0.0669357,1.49397e+06,0.13078,0.167926,595500,1,1
synthetic-blobs,generator,bbox-volume,nn1,fast,1000000,100000,1,0.0367076,2.25222,44400.7,0.13078,0.96055,104107,1,1
synthetic-blobs,generator,on-cloud,nn1,fast,1000000,100000,1,0.0367076,0.0406027,2.46289e+06,0.13078,0.167926,595500,1,1
synthetic-blobs,generator,bbox-volume,nn1,fast-aabb,1000000,100000,1,0.0341406,0.28389,352249,0.13078,0.96055,104107,1,1
synthetic-blobs,generator,on-cloud,nn1,fast-aabb,1000000,100000,1,0.0341406,0.0512766,1.95021e+06,0.13078,0.167926,595500,1,1
synthetic-powerlaw,generator,bbox-volume,knn,base,1000000,100000,10,0.0288396,0.23868,418970,0.150294,0.0859704,1.16319e+06,1,1
synthetic-powerlaw,generator,on-cloud,knn,base,1000000,100000,10,0.0288396,0.185077,540317,0.150294,0.3118,320718,1,1
synthetic-powerlaw,generator,bbox-volume,knn,aabb,1000000,100000,10,0.0346716,0.161513,619147,0.150294,0.0859704,1.16319e+06,1,1
synthetic-powerlaw,generator,on-cloud,knn,aabb,1000000,100000,10,0.0346716,0.166108,602019,0.150294,0.3118,320718,1,1
synthetic-powerlaw,generator,bbox-volume,nn1,base,1000000,100000,1,0.0325942,0.0560935,1.78274e+06,0.150294,0.0200008,4.99979e+06,1,1
synthetic-powerlaw,generator,on-cloud,nn1,base,1000000,100000,1,0.0325942,0.0902574,1.10794e+06,0.150294,0.130968,763545,1,1
synthetic-powerlaw,generator,bbox-volume,nn1,aabb,1000000,100000,1,0.0344031,0.0403363,2.47916e+06,0.150294,0.0200008,4.99979e+06,1,1
synthetic-powerlaw,generator,on-cloud,nn1,aabb,1000000,100000,1,0.0344031,0.0533387,1.87481e+06,0.150294,0.130968,763545,1,1
synthetic-powerlaw,generator,bbox-volume,nn1,fast,1000000,100000,1,0.0282809,0.032751,3.05335e+06,0.150294,0.0200008,4.99979e+06,1,1
synthetic-powerlaw,generator,on-cloud,nn1,fast,1000000,100000,1,0.0282809,0.048004,2.08316e+06,0.150294,0.130968,763545,1,1
synthetic-powerlaw,generator,bbox-volume,nn1,fast-aabb,1000000,100000,1,0.0356925,0.0337093,2.96654e+06,0.150294,0.0200008,4.99979e+06,1,1
synthetic-powerlaw,generator,on-cloud,nn1,fast-aabb,1000000,100000,1,0.0356925,0.0447534,2.23447e+06,0.150294,0.130968,763545,1,1
